D:\IMG\center_2022_05_05_12_24_44_552.jpg,D:\IMG\left_2022_05_05_12_24_44_552.jpg,D:\IMG\right_2022_05_05_12_24_44_552.jpg,0,0,0,0.5770132
D:\IMG\center_2022_05_05_12_24_44_619.jpg,D:\IMG\left_2022_05_05_12_24_44_619.jpg,D:\IMG\right_2022_05_05_12_24_44_619.jpg,0,0,0,0.5735338
D:\IMG\center_2022_05_05_12_24_44_695.jpg,D:\IMG\left_2022_05_05_12_24_44_695.jpg,D:\IMG\right_2022_05_05_12_24_44_695.jpg,0,0.097932,0,0.6129937
D:\IMG\center_2022_05_05_12_24_44_770.jpg,D:\IMG\left_2022_05_05_12_24_44_770.jpg,D:\IMG\right_2022_05_05_12_24_44_770.jpg,0,0.3230955,0,0.8386676
D:\IMG\center_2022_05_05_12_24_44_840.jpg,D:\IMG\left_2022_05_05_12_24_44_840.jpg,D:\IMG\right_2022_05_05_12_24_44_840.jpg,0,0.5125389,0,1.102228
D:\IMG\center_2022_05_05_12_24_44_913.jpg,D:\IMG\left_2022_05_05_12_24_44_913.jpg,D:\IMG\right_2022_05_05_12_24_44_913.jpg,0,0.7549542,0,1.775688
D:\IMG\center_2022_05_05_12_24_44_981.jpg,D:\IMG\left_2022_05_05_12_24_44_981.jpg,D:\IMG\right_2022_05_05_12_24_44_981.jpg,0,0.9302446,0,2.372367
D:\IMG\center_2022_05_05_12_24_45_054.jpg,D:\IMG\left_2022_05_05_12_24_45_054.jpg,D:\IMG\right_2022_05_05_12_24_45_054.jpg,-0.05,1,0,3.316875
D:\IMG\center_2022_05_05_12_24_45_126.jpg,D:\IMG\left_2022_05_05_12_24_45_126.jpg,D:\IMG\right_2022_05_05_12_24_45_126.jpg,-0.2,1,0,4.017663
D:\IMG\center_2022_05_05_12_24_45_199.jpg,D:\IMG\left_2022_05_05_12_24_45_199.jpg,D:\IMG\right_2022_05_05_12_24_45_199.jpg,-0.4,1,0,4.933482
D:\IMG\center_2022_05_05_12_24_45_275.jpg,D:\IMG\left_2022_05_05_12_24_45_275.jpg,D:\IMG\right_2022_05_05_12_24_45_275.jpg,-0.6000001,1,0,5.824368
D:\IMG\center_2022_05_05_12_24_45_347.jpg,D:\IMG\left_2022_05_05_12_24_45_347.jpg,D:\IMG\right_2022_05_05_12_24_45_347.jpg,0,1,0,6.684897
D:\IMG\center_2022_05_05_12_24_45_420.jpg,D:\IMG\left_2022_05_05_12_24_45_420.jpg,D:\IMG\right_2022_05_05_12_24_45_420.jpg,0,1,0,7.366205
D:\IMG\center_2022_05_05_12_24_45_488.jpg,D:\IMG\left_2022_05_05_12_24_45_488.jpg,D:\IMG\right_2022_05_05_12_24_45_488.jpg,0,1,0,8.273149
D:\IMG\center_2022_05_05_12_24_45_559.jpg,D:\IMG\left_2022_05_05_12_24_45_559.jpg,D:\IMG\right_2022_05_05_12_24_45_559.jpg,0,1,0,8.949015
D:\IMG\center_2022_05_05_12_24_45_629.jpg,D:\IMG\left_2022_05_05_12_24_45_629.jpg,D:\IMG\right_2022_05_05_12_24_45_629.jpg,0,1,0,9.844014
D:\IMG\center_2022_05_05_12_24_45_699.jpg,D:\IMG\left_2022_05_05_12_24_45_699.jpg,D:\IMG\right_2022_05_05_12_24_45_699.jpg,-0.1,1,0,10.50833
D:\IMG\center_2022_05_05_12_24_45_768.jpg,D:\IMG\left_2022_05_05_12_24_45_768.jpg,D:\IMG\right_2022_05_05_12_24_45_768.jpg,-0.3,1,0,11.36411
D:\IMG\center_2022_05_05_12_24_45_835.jpg,D:\IMG\left_2022_05_05_12_24_45_835.jpg,D:\IMG\right_2022_05_05_12_24_45_835.jpg,-0.45,1,0,12.08253
D:\IMG\center_2022_05_05_12_24_45_908.jpg,D:\IMG\left_2022_05_05_12_24_45_908.jpg,D:\IMG\right_2022_05_05_12_24_45_908.jpg,0,1,0,12.86603
D:\IMG\center_2022_05_05_12_24_45_978.jpg,D:\IMG\left_2022_05_05_12_24_45_978.jpg,D:\IMG\right_2022_05_05_12_24_45_978.jpg,0,1,0,13.33483
D:\IMG\center_2022_05_05_12_24_46_053.jpg,D:\IMG\left_2022_05_05_12_24_46_053.jpg,D:\IMG\right_2022_05_05_12_24_46_053.jpg,0,1,0,14.29014
D:\IMG\center_2022_05_05_12_24_46_127.jpg,D:\IMG\left_2022_05_05_12_24_46_127.jpg,D:\IMG\right_2022_05_05_12_24_46_127.jpg,0,1,0,15.09305
D:\IMG\center_2022_05_05_12_24_46_195.jpg,D:\IMG\left_2022_05_05_12_24_46_195.jpg,D:\IMG\right_2022_05_05_12_24_46_195.jpg,0,1,0,15.82224
D:\IMG\center_2022_05_05_12_24_46_271.jpg,D:\IMG\left_2022_05_05_12_24_46_271.jpg,D:\IMG\right_2022_05_05_12_24_46_271.jpg,0,1,0,16.652
D:\IMG\center_2022_05_05_12_24_46_343.jpg,D:\IMG\left_2022_05_05_12_24_46_343.jpg,D:\IMG\right_2022_05_05_12_24_46_343.jpg,-0.15,1,0,17.23603
D:\IMG\center_2022_05_05_12_24_46_416.jpg,D:\IMG\left_2022_05_05_12_24_46_416.jpg,D:\IMG\right_2022_05_05_12_24_46_416.jpg,-0.35,1,0,18.02644
D:\IMG\center_2022_05_05_12_24_46_489.jpg,D:\IMG\left_2022_05_05_12_24_46_489.jpg,D:\IMG\right_2022_05_05_12_24_46_489.jpg,-0.5500001,1,0,18.7434
D:\IMG\center_2022_05_05_12_24_46_556.jpg,D:\IMG\left_2022_05_05_12_24_46_556.jpg,D:\IMG\right_2022_05_05_12_24_46_556.jpg,0,1,0,19.30805
D:\IMG\center_2022_05_05_12_24_46_628.jpg,D:\IMG\left_2022_05_05_12_24_46_628.jpg,D:\IMG\right_2022_05_05_12_24_46_628.jpg,0,1,0,20.1076
